target_population,comparison_sample,model,model_label,algorithm,cycle,n,events,weight_variable,classification_threshold,classification_threshold_type,survey_weighted_AUROC,survey_weighted_PR_AUC,unweighted_AUROC,unweighted_PR_AUC,weighted_Brier,weighted_log_loss,unweighted_Brier,unweighted_log_loss,calibration_intercept,calibration_slope,observed_expected_ratio,weighted_observed_prevalence,weighted_mean_predicted_probability,calibration_in_the_large,sensitivity,specificity,PPV,NPV,F1
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,elastic_net,2005-2006,4448,533,combined_mec_weight,0.5,fixed_0.50,0.8474229053381095,0.3786393492735861,0.8403806018608374,0.4107594812875667,0.066040311259483,0.2288318031367081,0.084929334367036,0.2809971865809485,0.1059471704405748,0.9947416253587597,1.0890551153797492,0.0895836535532119,0.0822581449626399,0.0933245826363378,0.1388367729831144,0.9849297573435504,0.556390977443609,0.8936268829663963,0.2222222222222222
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,elastic_net,2005-2006,4448,533,combined_mec_weight,0.0764665572327845,training_weighted_youden,0.8474229053381095,0.3786393492735861,0.8403806018608374,0.4107594812875667,0.066040311259483,0.2288318031367081,0.084929334367036,0.2809971865809485,0.1059471704405748,0.9947416253587597,1.0890551153797492,0.0895836535532119,0.0822581449626399,0.0933245826363378,0.8405253283302064,0.6922094508301405,0.2710223835450696,0.9695885509838998,0.4098810612991766
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,elastic_net,2005-2006,1836,216,combined_fasting_weight,0.5,fixed_0.50,0.830225902612651,0.3544536475460009,0.8269690214906263,0.3869835825344705,0.0718397008640176,0.2480434261685496,0.0861975745293495,0.2858711712471644,-0.0374520110084037,0.9169226161188448,1.0833907616693392,0.0951024285360095,0.0877822037078027,0.0881527337357299,0.1435185185185185,0.9796296296296296,0.484375,0.8955981941309256,0.2214285714285714
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,elastic_net,2005-2006,1836,216,combined_fasting_weight,0.0824151151832887,training_weighted_youden,0.830225902612651,0.3544536475460009,0.8269690214906263,0.3869835825344705,0.0718397008640176,0.2480434261685496,0.0861975745293495,0.2858711712471644,-0.0374520110084037,0.9169226161188448,1.0833907616693392,0.0951024285360095,0.0877822037078027,0.0881527337357299,0.8333333333333334,0.6839506172839506,0.2601156069364161,0.9685314685314684,0.3964757709251101
fasting subsample,metabolic comparison sample,model0_paired_metabolic,Model 0 paired metabolic sample,elastic_net,2005-2006,1836,216,combined_fasting_weight,0.5,fixed_0.50,0.830225902612651,0.3544536475460009,0.8269690214906263,0.3869835825344705,0.0718397008640176,0.2480434261685496,0.0861975745293495,0.2858711712471644,-0.0374520110084037,0.9169226161188448,1.0833907616693392,0.0951024285360095,0.0877822037078027,0.0881527337357299,0.1435185185185185,0.9796296296296296,0.484375,0.8955981941309256,0.2214285714285714
fasting subsample,metabolic comparison sample,model0_paired_metabolic,Model 0 paired metabolic sample,elastic_net,2005-2006,1836,216,combined_fasting_weight,0.0824151151832887,training_weighted_youden,0.830225902612651,0.3544536475460009,0.8269690214906263,0.3869835825344705,0.0718397008640176,0.2480434261685496,0.0861975745293495,0.2858711712471644,-0.0374520110084037,0.9169226161188448,1.0833907616693392,0.0951024285360095,0.0877822037078027,0.0881527337357299,0.8333333333333334,0.6839506172839506,0.2601156069364161,0.9685314685314684,0.3964757709251101
MEC examination sample,renal comparison sample,model1_renal,Model 1 renal,elastic_net,2005-2006,4448,533,combined_mec_weight,0.5,fixed_0.50,0.8520647107523535,0.4033235315482322,0.8474132539733885,0.4305791254478985,0.0645185977711126,0.2246981217250436,0.0830796444465838,0.2757605522742195,0.0968682150259738,1.0125363301634651,1.0559820247248122,0.0895836535532119,0.0848344493141892,0.0596741232724786,0.2007504690431519,0.9787994891443168,0.5631578947368421,0.8999530295913575,0.2959889349930844
MEC examination sample,renal comparison sample,model1_renal,Model 1 renal,elastic_net,2005-2006,4448,533,combined_mec_weight,0.0790704099150002,training_weighted_youden,0.8520647107523535,0.4033235315482322,0.8474132539733885,0.4305791254478985,0.0645185977711126,0.2246981217250436,0.0830796444465838,0.2757605522742195,0.0968682150259738,1.0125363301634651,1.0559820247248122,0.0895836535532119,0.0848344493141892,0.0596741232724786,0.8405253283302064,0.7011494252873564,0.276885043263288,0.969964664310954,0.4165504416550441
fasting subsample,metabolic comparison sample,model2_metabolic,Model 2 metabolic,elastic_net,2005-2006,1836,216,combined_fasting_weight,0.5,fixed_0.50,0.8335930340950878,0.3594793948013806,0.8286951303155009,0.3892824905152484,0.0715697419678709,0.2464958517764029,0.0860243693909577,0.2849562327554032,-0.0254330373707612,0.9269292456119134,1.077886086955794,0.0951024285360095,0.0882305001306783,0.0825672563425534,0.1574074074074074,0.980246913580247,0.5151515151515151,0.8971751412429378,0.2411347517730496
fasting subsample,metabolic comparison sample,model2_metabolic,Model 2 metabolic,elastic_net,2005-2006,1836,216,combined_fasting_weight,0.0902325999479251,training_weighted_youden,0.8335930340950878,0.3594793948013806,0.8286951303155009,0.3892824905152484,0.0715697419678709,0.2464958517764029,0.0860243693909577,0.2849562327554032,-0.0254330373707612,0.9269292456119134,1.077886086955794,0.0951024285360095,0.0882305001306783,0.0825672563425534,0.8287037037037037,0.7018518518518518,0.270392749244713,0.9684838160136288,0.4077448747152619
