cycle,n_outcome_available,events,unweighted_cvd_prevalence,mec_weighted_cvd_prevalence,fasting_weighted_cvd_prevalence
2005-2006,4643,559,0.12039629549860004,0.08958365355321198,0.09510242853600952
2007-2008,5877,716,0.12183086608814021,0.08628613626099402,0.08956343919074473
2009-2010,6148,667,0.10849056603773585,0.08107495355801893,0.08151876177433258
2011-2012,5500,581,0.10563636363636364,0.08726918830598314,0.09688365543132342
2013-2014,5703,594,0.10415570752235666,0.08814986283345701,0.08899312948449871
2015-2016,5649,634,0.11223225349619402,0.08730107214212413,0.09057334731792419
2017-2018,5513,690,0.1251587157627426,0.09637478593053449,0.09987693393124161
2021-2023,7766,982,0.12644862219933042,0.09695569595871845,0.09335715157717278
