cycle,comparison,algorithm,core_model,extended_model,n,events,weight_variable,metric,point_estimate,bootstrap_mean,bootstrap_bias,bootstrap_se,ci_lower,ci_upper,ci_level,ci_method,replicate_method,n_replicates_requested,n_replicates_valid,valid_replicate_fraction,design_df
2021-2023,inflammatory,elastic_net,model0_core,model3_inflammatory,7766,982,combined_mec_weight,delta_AUROC,0.0015585430314084547,0.0015707679458385837,1.2224914430128972e-05,0.0006514502138278774,0.000300480163392167,0.0028303699845222295,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,inflammatory,elastic_net,model0_core,model3_inflammatory,7766,982,combined_mec_weight,delta_PR_AUC,0.008216758352144915,0.007641945942505142,-0.0005748124096397727,0.005519512100393284,-0.0029134578414137476,0.018177104017862943,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,inflammatory,elastic_net,model0_core,model3_inflammatory,7766,982,combined_mec_weight,delta_Brier_improvement,0.0003448042136739021,0.0003420087882349124,-2.795425438989745e-06,0.00024353497134725938,-0.00013307690550078374,0.0008235861065238017,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,inflammatory,elastic_net,model0_core,model3_inflammatory,7766,982,combined_mec_weight,delta_log_loss_improvement,0.0011149416641067222,0.001110248658408029,-4.693005698693312e-06,0.000519578080803484,9.13753857963872e-05,0.0021206813187568205,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,inflammatory,elastic_net,model0_core,model3_inflammatory,7766,982,combined_mec_weight,core_calibration_intercept,-0.07775319161558682,-0.0742160051556855,0.003537186459901323,0.10501285693626437,-0.2709418008376595,0.13884540088981112,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,inflammatory,elastic_net,model0_core,model3_inflammatory,7766,982,combined_mec_weight,extended_calibration_intercept,-0.06453730096298063,-0.06067453023171446,0.003862770731266174,0.10935568651322582,-0.26422144008563103,0.1620543925081113,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,inflammatory,elastic_net,model0_core,model3_inflammatory,7766,982,combined_mec_weight,core_calibration_slope,0.9936936130133414,0.9978438705333676,0.00415025752002629,0.06068186476069163,0.8919684670963578,1.1230151735301026,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,inflammatory,elastic_net,model0_core,model3_inflammatory,7766,982,combined_mec_weight,extended_calibration_slope,1.0001910886804646,1.0044876394002844,0.004296550719819825,0.0628434141769439,0.8957055477449581,1.1328423696204863,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,inflammatory,elastic_net,model0_core,model3_inflammatory,7766,982,combined_mec_weight,absolute_intercept_deviation_change,0.013215890652606185,0.003257067846935277,-0.009958822805670908,0.015253329391935938,-0.02886696963135699,0.024657436755677282,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,inflammatory,elastic_net,model0_core,model3_inflammatory,7766,982,combined_mec_weight,absolute_slope_deviation_change,0.006115298306194061,-0.001493968117730211,-0.007609266423924272,0.00780663185800249,-0.01592619242137202,0.011005514206371355,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,combined,elastic_net,model0_paired_combined,model4_combined,3397,434,combined_fasting_weight,delta_AUROC,0.007415544972736887,0.007251022646247697,-0.00016452232648919013,0.0027706441710807386,0.0015549899887956197,0.012391122634283682,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,combined,elastic_net,model0_paired_combined,model4_combined,3397,434,combined_fasting_weight,delta_PR_AUC,0.024991676893031167,0.022475620945054738,-0.0025160559479764297,0.009501194318304134,0.0040482929318414376,0.04178967129384459,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,combined,elastic_net,model0_paired_combined,model4_combined,3397,434,combined_fasting_weight,delta_Brier_improvement,0.001369745127676042,0.0013447413539882727,-2.5003773687769237e-05,0.000629968710956493,0.00011545761424914169,0.0025316469337611485,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,combined,elastic_net,model0_paired_combined,model4_combined,3397,434,combined_fasting_weight,delta_log_loss_improvement,0.005004955871767192,0.004926289024503057,-7.866684726413452e-05,0.0017447206554816609,0.001444624887700167,0.008155215303495129,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,combined,elastic_net,model0_paired_combined,model4_combined,3397,434,combined_fasting_weight,core_calibration_intercept,-0.2096166730688555,-0.20139362147212375,0.008223051596731756,0.12999506214568052,-0.4486851608051384,0.06497190892149883,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,combined,elastic_net,model0_paired_combined,model4_combined,3397,434,combined_fasting_weight,extended_calibration_intercept,-0.1623083555330749,-0.15807360798942022,0.004234747543654688,0.12578542240421856,-0.39924667405873826,0.0883726508684742,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,combined,elastic_net,model0_paired_combined,model4_combined,3397,434,combined_fasting_weight,core_calibration_slope,0.9580870019104686,0.9681520302747398,0.010065028364271256,0.08372101811318339,0.8284016243373449,1.154970104048612,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,combined,elastic_net,model0_paired_combined,model4_combined,3397,434,combined_fasting_weight,extended_calibration_slope,0.962897283556809,0.9701477723046857,0.007250488747876704,0.07448591072442928,0.840911716553944,1.127065657374866,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,combined,elastic_net,model0_paired_combined,model4_combined,3397,434,combined_fasting_weight,absolute_intercept_deviation_change,0.0473083175357806,0.038358622835653375,-0.008949694700127228,0.04125479509593012,-0.05288557534740991,0.11303422596292277,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,combined,elastic_net,model0_paired_combined,model4_combined,3397,434,combined_fasting_weight,absolute_slope_deviation_change,0.004810281646340453,0.00802310280976186,0.0032128211634214077,0.017319762082328025,-0.024737345971465576,0.04287380945410398,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,renal,xgboost,model0_core,model1_renal,7766,982,combined_mec_weight,delta_AUROC,0.0018044088700418515,0.001858912526417167,5.4503656375315445e-05,0.002158919383153215,-0.0020854008139736166,0.006128017793439096,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,renal,xgboost,model0_core,model1_renal,7766,982,combined_mec_weight,delta_PR_AUC,0.006473203105628489,0.005874303217837124,-0.0005988998877913647,0.006880784992235427,-0.007836791905160987,0.018908879245513602,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,renal,xgboost,model0_core,model1_renal,7766,982,combined_mec_weight,delta_Brier_improvement,0.00040555319445502447,0.0004168432436880677,1.1290049233043215e-05,0.0004011054246717852,-0.00036220739910656217,0.0011977908199065346,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,renal,xgboost,model0_core,model1_renal,7766,982,combined_mec_weight,delta_log_loss_improvement,0.001115020865692068,0.0011570493820798574,4.202851638778946e-05,0.0012681244539610873,-0.0012541042378096609,0.0036629835898472993,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,renal,xgboost,model0_core,model1_renal,7766,982,combined_mec_weight,core_calibration_intercept,-0.12383156614525577,-0.12100014822729883,0.0028314179179569354,0.10342340459769019,-0.31665972491380767,0.0816997105465106,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,renal,xgboost,model0_core,model1_renal,7766,982,combined_mec_weight,extended_calibration_intercept,-0.10035228644887832,-0.09686843047966638,0.003483855969211941,0.11044442895664494,-0.30481674717683876,0.12188919397747186,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,renal,xgboost,model0_core,model1_renal,7766,982,combined_mec_weight,core_calibration_slope,0.9838804149290225,0.9879373083708388,0.004056893441816367,0.06162451963329422,0.8795374936553142,1.1115196648579184,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,renal,xgboost,model0_core,model1_renal,7766,982,combined_mec_weight,extended_calibration_slope,0.9956056462429321,1.0001358229901707,0.004530176747238546,0.06521012216056905,0.8887781368238725,1.1291691499945353,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,renal,xgboost,model0_core,model1_renal,7766,982,combined_mec_weight,absolute_intercept_deviation_change,0.023479279696377447,0.012490473956013538,-0.01098880574036391,0.03191453713756437,-0.056168431586345394,0.07199871294955285,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,renal,xgboost,model0_core,model1_renal,7766,982,combined_mec_weight,absolute_slope_deviation_change,0.011725231313909679,-0.002445329748150156,-0.014170561062059835,0.016553756334855802,-0.03558384874960386,0.027005110718356536,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,metabolic,xgboost,model0_paired_metabolic,model2_metabolic,3397,434,combined_fasting_weight,delta_AUROC,-0.0010484590846899788,-0.0010226330284291607,2.5826056260818114e-05,0.0018323185375508622,-0.004567311629339851,0.002398625291094656,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,metabolic,xgboost,model0_paired_metabolic,model2_metabolic,3397,434,combined_fasting_weight,delta_PR_AUC,-0.006795410492409781,-0.006387453651575035,0.00040795684083474656,0.011376429850435582,-0.02567909990510008,0.012522593982413293,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,metabolic,xgboost,model0_paired_metabolic,model2_metabolic,3397,434,combined_fasting_weight,delta_Brier_improvement,-0.0004704860707426678,-0.0004778886841415128,-7.402613398845004e-06,0.00040059570801327947,-0.0012377333168175917,0.00024142498271025178,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,metabolic,xgboost,model0_paired_metabolic,model2_metabolic,3397,434,combined_fasting_weight,delta_log_loss_improvement,-0.0010898184611148887,-0.0011100666323196249,-2.0248171204736206e-05,0.0007592206494760704,-0.0026199458946497994,0.00032685858564159963,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,metabolic,xgboost,model0_paired_metabolic,model2_metabolic,3397,434,combined_fasting_weight,core_calibration_intercept,-0.15250542010749696,-0.14603411213968567,0.006471307967811285,0.11882274339160781,-0.3743190864388739,0.09458757811014641,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,metabolic,xgboost,model0_paired_metabolic,model2_metabolic,3397,434,combined_fasting_weight,extended_calibration_intercept,-0.15156934695899751,-0.1460344620848795,0.005534884874118018,0.11848159566503005,-0.38218493971414014,0.08711090998185635,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,metabolic,xgboost,model0_paired_metabolic,model2_metabolic,3397,434,combined_fasting_weight,core_calibration_slope,1.015177186212524,1.0243181275208955,0.009140941308371398,0.08470115740936002,0.886945250161282,1.2069644865925617,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,metabolic,xgboost,model0_paired_metabolic,model2_metabolic,3397,434,combined_fasting_weight,extended_calibration_slope,1.006604732030674,1.0155188117304876,0.008914079699813726,0.08512608339925339,0.8772861448922363,1.1990708903294272,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,metabolic,xgboost,model0_paired_metabolic,model2_metabolic,3397,434,combined_fasting_weight,absolute_intercept_deviation_change,0.0009360731484994445,0.0006508827963896865,-0.00028519035210975796,0.019834326639503744,-0.03862910794868829,0.03719087385767528,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,metabolic,xgboost,model0_paired_metabolic,model2_metabolic,3397,434,combined_fasting_weight,absolute_slope_deviation_change,0.008572454181850153,0.0005318897437804986,-0.008040564438069655,0.012015274298702323,-0.02111290723208022,0.024651097273941342,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,inflammatory,xgboost,model0_core,model3_inflammatory,7766,982,combined_mec_weight,delta_AUROC,0.0013686554323556477,0.001465238057233513,9.658262487786539e-05,0.001588220599055325,-0.0015466907034932932,0.004696062959716351,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,inflammatory,xgboost,model0_core,model3_inflammatory,7766,982,combined_mec_weight,delta_PR_AUC,0.005661136765408137,0.005800708482153009,0.00013957171674487245,0.006859345184107602,-0.00658946140251034,0.020202190587388036,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
