Algorithm,Comparison,n (events),Delta AUROC (95% CI),Delta PR-AUC (95% CI),Brier improvement (95% CI),Log-loss improvement (95% CI)
Elastic Net,Renal,7766 (982),0.00387 (0.00002 to 0.00751),0.02196 (0.00977 to 0.03106),0.00096 (0.00030 to 0.00160),0.00279 (0.00062 to 0.00497)
Elastic Net,Metabolic,3397 (434),0.00097 (-0.00233 to 0.00389),0.00228 (-0.00734 to 0.01206),0.00003 (-0.00042 to 0.00043),0.00051 (-0.00107 to 0.00188)
Elastic Net,Inflammatory,7766 (982),0.00156 (0.00030 to 0.00283),0.00822 (-0.00291 to 0.01818),0.00034 (-0.00013 to 0.00082),0.00111 (0.00009 to 0.00212)
Elastic Net,Combined,3397 (434),0.00742 (0.00155 to 0.01239),0.02499 (0.00405 to 0.04179),0.00137 (0.00012 to 0.00253),0.00500 (0.00144 to 0.00816)
XGBoost,Renal,7766 (982),0.00180 (-0.00209 to 0.00613),0.00647 (-0.00784 to 0.01891),0.00041 (-0.00036 to 0.00120),0.00112 (-0.00125 to 0.00366)
XGBoost,Metabolic,3397 (434),-0.00105 (-0.00457 to 0.00240),-0.00680 (-0.02568 to 0.01252),-0.00047 (-0.00124 to 0.00024),-0.00109 (-0.00262 to 0.00033)
XGBoost,Inflammatory,7766 (982),0.00137 (-0.00155 to 0.00470),0.00566 (-0.00659 to 0.02020),0.00040 (-0.00019 to 0.00106),0.00106 (-0.00076 to 0.00308)
XGBoost,Combined,3397 (434),0.00350 (-0.00325 to 0.01045),0.01052 (-0.01198 to 0.03516),0.00064 (-0.00079 to 0.00202),0.00244 (-0.00154 to 0.00636)
