cycle,algorithm,model,model_label,target_population,comparison_sample,n,events,weight_variable,metric,point_estimate,bootstrap_mean,bootstrap_bias,bootstrap_se,ci_lower,ci_upper,ci_level,ci_method,replicate_method,n_replicates_requested,n_replicates_valid,valid_replicate_fraction,design_df
2021-2023,elastic_net,model1_renal,Model 1 renal,MEC examination sample,renal comparison sample,7766,982,combined_mec_weight,calibration_in_the_large,-0.04607258817557103,-0.04679057210185247,-0.0007179839262814458,0.03932626130396994,-0.12440359369135955,0.0263497598842281,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model2_metabolic,Model 2 metabolic,fasting subsample,metabolic comparison sample,3397,434,combined_fasting_weight,survey_weighted_AUROC,0.8454983340127135,0.8460570530769417,0.0005587190642282192,0.015164232424729437,0.8170921987981755,0.87545484153662,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model2_metabolic,Model 2 metabolic,fasting subsample,metabolic comparison sample,3397,434,combined_fasting_weight,survey_weighted_PR_AUC,0.3954224873340644,0.40038314113435897,0.00496065380029459,0.02637416192988627,0.35139874898082313,0.45090314105835594,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model2_metabolic,Model 2 metabolic,fasting subsample,metabolic comparison sample,3397,434,combined_fasting_weight,weighted_Brier,0.06889398449799101,0.0688803441976438,-1.364030034721464e-05,0.0034499537228503004,0.06225497081906199,0.07540083907856017,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model2_metabolic,Model 2 metabolic,fasting subsample,metabolic comparison sample,3397,434,combined_fasting_weight,weighted_log_loss,0.23649923281583518,0.2363835051455005,-0.00011572767033468656,0.01083021676077426,0.21601090340232956,0.2567414253655571,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model2_metabolic,Model 2 metabolic,fasting subsample,metabolic comparison sample,3397,434,combined_fasting_weight,calibration_intercept,-0.19029761005623785,-0.18330708230876086,0.006990527747476993,0.12732150628450878,-0.4279287926149849,0.07344195857596068,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model2_metabolic,Model 2 metabolic,fasting subsample,metabolic comparison sample,3397,434,combined_fasting_weight,calibration_slope,0.9575987479581746,0.9664052054933769,0.008806457535202372,0.07878381018321402,0.8323129173610914,1.1385993119969402,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model2_metabolic,Model 2 metabolic,fasting subsample,metabolic comparison sample,3397,434,combined_fasting_weight,observed_expected_ratio,0.9119209906726681,0.911985097683863,6.410701119496931e-05,0.05587927447192577,0.808851773578602,1.017808790033319,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model2_metabolic,Model 2 metabolic,fasting subsample,metabolic comparison sample,3397,434,combined_fasting_weight,weighted_observed_prevalence,0.09335715157717278,0.0933864867014018,2.9335124229021292e-05,0.005384949699689709,0.08288153997076297,0.10367061276262644,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model2_metabolic,Model 2 metabolic,fasting subsample,metabolic comparison sample,3397,434,combined_fasting_weight,weighted_mean_predicted_probability,0.10237416676669428,0.10248615573962343,0.00011198897292914733,0.0036456687292502382,0.09577500880800073,0.10985320079297925,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
