target_population,comparison_sample,model,model_label,algorithm,weight_variable,metric,point_estimate,bootstrap_mean,bootstrap_bias,bootstrap_se,ci_lower,ci_upper,ci_level,ci_method,replicate_method,n_replicates_requested,n_replicates_valid,valid_replicate_fraction,design_df
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,xgboost,combined_mec_weight,weighted_observed_prevalence,0.08800566465490338,0.08797433194354841,-3.1332711354969955e-05,0.002249232302824055,0.08353695680858696,0.09220626989055677,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,xgboost,combined_mec_weight,weighted_mean_predicted_probability,0.0876609957678067,0.08761574668703613,-4.5249080770567995e-05,0.001396368327459039,0.08489512084626405,0.09038470740754927,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,xgboost,combined_mec_weight,calibration_in_the_large,0.005646511457177158,0.004534319995338267,-0.0011121914618388911,0.020093527250042893,-0.034584794675448526,0.044093536349695324,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,inflammatory comparison sample,model3_inflammatory,Model 3 inflammatory,elastic_net,combined_mec_weight,survey_weighted_AUROC,0.8498288608692243,0.8496982596185991,-0.00013060125062513972,0.00393370690031677,0.8421441036259311,0.8572583615425231,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,inflammatory comparison sample,model3_inflammatory,Model 3 inflammatory,elastic_net,combined_mec_weight,survey_weighted_PR_AUC,0.3719279841659042,0.3740413715100233,0.0021133873441190887,0.008362117699439451,0.3573147921957568,0.3900186079017605,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,inflammatory comparison sample,model3_inflammatory,Model 3 inflammatory,elastic_net,combined_mec_weight,weighted_Brier,0.06566302959558244,0.0656441189846902,-1.8910610892236557e-05,0.0014892093496353869,0.06270162069892309,0.06858431452827513,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,inflammatory comparison sample,model3_inflammatory,Model 3 inflammatory,elastic_net,combined_mec_weight,weighted_log_loss,0.22590510236158806,0.22584681816865074,-5.8284192937324564e-05,0.004453324621960636,0.21689610762745565,0.23444904788817222,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,inflammatory comparison sample,model3_inflammatory,Model 3 inflammatory,elastic_net,combined_mec_weight,calibration_intercept,-0.0069291256509296925,-0.00575047449724733,0.0011786511536823622,0.03697972025511013,-0.0763872171649135,0.06688815733720412,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,inflammatory comparison sample,model3_inflammatory,Model 3 inflammatory,elastic_net,combined_mec_weight,calibration_slope,0.9958323865150511,0.9976184263850845,0.0017860398700333402,0.01755533589645292,0.9638539637873861,1.0326938049795116,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,inflammatory comparison sample,model3_inflammatory,Model 3 inflammatory,elastic_net,combined_mec_weight,observed_expected_ratio,1.0016665064218913,1.00182667888249,0.00016017246059885082,0.018255726556199343,0.9666118413274187,1.0384899392228588,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,inflammatory comparison sample,model3_inflammatory,Model 3 inflammatory,elastic_net,combined_mec_weight,weighted_observed_prevalence,0.08800566465490338,0.08797433194354841,-3.1332711354969955e-05,0.002249232302824055,0.08353695680858696,0.09220626989055677,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,inflammatory comparison sample,model3_inflammatory,Model 3 inflammatory,elastic_net,combined_mec_weight,weighted_mean_predicted_probability,0.08800767594777233,0.08795569677943513,-5.1979168337198955e-05,0.0014982055153547756,0.08502658050701452,0.0909389799950896,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,inflammatory comparison sample,model3_inflammatory,Model 3 inflammatory,elastic_net,combined_mec_weight,calibration_in_the_large,0.00035271268527584506,-0.0005742649453086497,-0.0009269776305844948,0.019849010961280805,-0.03948589861639294,0.03805787835556852,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,inflammatory comparison sample,model3_inflammatory,Model 3 inflammatory,xgboost,combined_mec_weight,survey_weighted_AUROC,0.8534213735248428,0.8532970448517411,-0.0001243286731017479,0.003758333893340116,0.8458361207917516,0.8606502204034566,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,inflammatory comparison sample,model3_inflammatory,Model 3 inflammatory,xgboost,combined_mec_weight,survey_weighted_PR_AUC,0.38342142636415544,0.38612769536696906,0.0027062690028136216,0.008595596256310192,0.3687778544177573,0.4028602990736908,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,inflammatory comparison sample,model3_inflammatory,Model 3 inflammatory,xgboost,combined_mec_weight,weighted_Brier,0.06519985914525439,0.06517862377671271,-2.1235368541677735e-05,0.001474368253277,0.06219446291318159,0.06809349465190558,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,inflammatory comparison sample,model3_inflammatory,Model 3 inflammatory,xgboost,combined_mec_weight,weighted_log_loss,0.22421379064804675,0.22414950954554963,-6.428110249712127e-05,0.004355017014816807,0.2155564973516257,0.23257996835348801,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,inflammatory comparison sample,model3_inflammatory,Model 3 inflammatory,xgboost,combined_mec_weight,calibration_intercept,0.04021972975699384,0.04150180099597829,0.001282071238984453,0.03697236566442101,-0.030385979753586985,0.11220288489534323,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,inflammatory comparison sample,model3_inflammatory,Model 3 inflammatory,xgboost,combined_mec_weight,calibration_slope,1.018923675159357,1.0208869584489355,0.001963283289578621,0.01726692915848915,0.9871297173816731,1.0541928460743433,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,inflammatory comparison sample,model3_inflammatory,Model 3 inflammatory,xgboost,combined_mec_weight,observed_expected_ratio,1.0076270217095722,1.007710585183505,8.356347393290164e-05,0.01842146358655246,0.9729199164183585,1.044452688033745,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,inflammatory comparison sample,model3_inflammatory,Model 3 inflammatory,xgboost,combined_mec_weight,weighted_observed_prevalence,0.08800566465490338,0.08797433194354841,-3.1332711354969955e-05,0.002249232302824055,0.08353695680858696,0.09220626989055677,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,inflammatory comparison sample,model3_inflammatory,Model 3 inflammatory,xgboost,combined_mec_weight,weighted_mean_predicted_probability,0.08772148784012468,0.0876715164612948,-4.997137882988001e-05,0.0014361666951470996,0.08483087014547913,0.09050291387138176,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,inflammatory comparison sample,model3_inflammatory,Model 3 inflammatory,xgboost,combined_mec_weight,calibration_in_the_large,0.00536909654047354,0.00436623447090054,-0.0010028620695730003,0.019950045117805487,-0.03436990707386315,0.04362905487285556,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
