cycle,comparison,algorithm,core_model,extended_model,n,events,weight_variable,delta_AUROC,delta_PR_AUC,delta_Brier_improvement,delta_log_loss_improvement,core_calibration_intercept,extended_calibration_intercept,core_calibration_slope,extended_calibration_slope,absolute_intercept_deviation_change,absolute_slope_deviation_change
2021-2023,renal,elastic_net,model0_core,model1_renal,7766,982,combined_mec_weight,0.00387057386394718,0.021962040737758592,0.0009618274007310024,0.0027857655482079746,-0.07775319161558682,-0.06364756081683379,0.9936936130133414,0.9966631158323143,0.01410563079875303,0.0029695028189729022
2021-2023,metabolic,elastic_net,model0_paired_metabolic,model2_metabolic,3397,434,combined_fasting_weight,0.0009699893802358472,0.0022848656841795156,2.675604403812315e-05,0.0005138540135554148,-0.2096166730688555,-0.19029761005623785,0.9580870019104686,0.9575987479581746,0.019319063012617654,-0.00048825395229401547
2021-2023,inflammatory,elastic_net,model0_core,model3_inflammatory,7766,982,combined_mec_weight,0.0015585430314084547,0.008216758352144915,0.0003448042136739021,0.0011149416641067222,-0.07775319161558682,-0.06453730096298063,0.9936936130133414,1.0001910886804646,0.013215890652606185,0.006115298306194061
2021-2023,combined,elastic_net,model0_paired_combined,model4_combined,3397,434,combined_fasting_weight,0.007415544972736887,0.024991676893031167,0.001369745127676042,0.005004955871767192,-0.2096166730688555,-0.1623083555330749,0.9580870019104686,0.962897283556809,0.0473083175357806,0.004810281646340453
2021-2023,renal,xgboost,model0_core,model1_renal,7766,982,combined_mec_weight,0.0018044088700418515,0.006473203105628489,0.00040555319445502447,0.001115020865692068,-0.12383156614525577,-0.10035228644887832,0.9838804149290225,0.9956056462429321,0.023479279696377447,0.011725231313909679
2021-2023,metabolic,xgboost,model0_paired_metabolic,model2_metabolic,3397,434,combined_fasting_weight,-0.0010484590846899788,-0.006795410492409781,-0.0004704860707426678,-0.0010898184611148887,-0.15250542010749696,-0.15156934695899751,1.015177186212524,1.006604732030674,0.0009360731484994445,0.008572454181850153
2021-2023,inflammatory,xgboost,model0_core,model3_inflammatory,7766,982,combined_mec_weight,0.0013686554323556477,0.005661136765408137,0.00039719532458673545,0.0010577306522359387,-0.12383156614525577,-0.06800620882624535,0.9838804149290225,1.019898160208602,0.05582535731901042,-0.0037785751376243626
2021-2023,combined,xgboost,model0_paired_combined,model4_combined,3397,434,combined_fasting_weight,0.0035018936985969917,0.010523556873797524,0.0006408066598791867,0.0024413268432263158,-0.15250542010749696,-0.17915306557516356,1.015177186212524,0.9658168936294809,-0.026647645467666597,-0.01900592015799507
