period,algorithm,model,outcome_definition,n,events,weight_variable,metric,point_estimate,bootstrap_mean,bootstrap_bias,bootstrap_se,ci_lower,ci_upper,ci_level,ci_method,replicate_method,n_replicates_requested,n_replicates_valid,valid_replicate_fraction,design_df
development 2005-2018 out-of-cycle,elastic_net,model1_renal,strict: any positive; otherwise all five components observed and negative,37308,4222,combined_mec_weight,observed_expected_ratio,1.0074280737937167,1.0074646340019981,3.6560208281466444e-05,0.01840109838006827,0.9716651383930172,1.0441114801480247,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
development 2005-2018 out-of-cycle,elastic_net,model1_renal,strict: any positive; otherwise all five components observed and negative,37308,4222,combined_mec_weight,weighted_observed_prevalence,0.08840231418265862,0.08840012941488093,-2.1847677776909435e-06,0.0023179099084068584,0.08392676901154782,0.09307277854851627,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
development 2005-2018 out-of-cycle,elastic_net,model1_renal,strict: any positive; otherwise all five components observed and negative,37308,4222,combined_mec_weight,weighted_mean_predicted_probability,0.08775049701539296,0.08774165019774896,-8.84681764400097e-06,0.0014530028844952864,0.08491097079929734,0.09055111875392285,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
development 2005-2018 out-of-cycle,elastic_net,model1_renal,strict: any positive; otherwise all five components observed and negative,37308,4222,combined_mec_weight,calibration_in_the_large,0.008115393233626644,0.007994265138620397,-0.00012112809500624752,0.020035331248212686,-0.0314029805888159,0.04735010074540938,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
temporal 2021-2023,elastic_net,model0_core,strict: any positive; otherwise all five components observed and negative,7723,982,combined_mec_weight,survey_weighted_AUROC,0.8546955859077187,0.853901424483443,-0.0007941614242756856,0.012095348190624989,0.8304580620289896,0.8764824888089393,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
temporal 2021-2023,elastic_net,model0_core,strict: any positive; otherwise all five components observed and negative,7723,982,combined_mec_weight,survey_weighted_PR_AUC,0.400167882478687,0.40140139458784063,0.0012335121091536227,0.018219551089127685,0.3665871548581889,0.43657908732444334,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
temporal 2021-2023,elastic_net,model0_core,strict: any positive; otherwise all five components observed and negative,7723,982,combined_mec_weight,weighted_Brier,0.07050487213439145,0.07065354051046364,0.00014866837607219185,0.003176079266479667,0.06479502884985326,0.07703928204772971,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
temporal 2021-2023,elastic_net,model0_core,strict: any positive; otherwise all five components observed and negative,7723,982,combined_mec_weight,weighted_log_loss,0.23832100546196933,0.2388881418516689,0.000567136389699574,0.009515319411218897,0.22120679236151675,0.25739413977005166,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
temporal 2021-2023,elastic_net,model0_core,strict: any positive; otherwise all five components observed and negative,7723,982,combined_mec_weight,calibration_intercept,-0.0548542338987707,-0.056916282529561955,-0.0020620486307912564,0.10654197709115472,-0.263231440796969,0.1450507736635421,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
temporal 2021-2023,elastic_net,model0_core,strict: any positive; otherwise all five components observed and negative,7723,982,combined_mec_weight,calibration_slope,1.0013584093395211,1.002019410672654,0.0006610013331329601,0.0630035684188388,0.8897606797578056,1.1260263954721506,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
temporal 2021-2023,elastic_net,model0_core,strict: any positive; otherwise all five components observed and negative,7723,982,combined_mec_weight,observed_expected_ratio,0.959992801130761,0.9598270736828703,-0.0001657274478906734,0.03386751966138458,0.8929865968694959,1.0249929966361195,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
temporal 2021-2023,elastic_net,model0_core,strict: any positive; otherwise all five components observed and negative,7723,982,combined_mec_weight,weighted_observed_prevalence,0.09733176905642593,0.09747475498093566,0.0001429859245097309,0.005105862310024138,0.08797531367299706,0.10788147453110053,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
temporal 2021-2023,elastic_net,model0_core,strict: any positive; otherwise all five components observed and negative,7723,982,combined_mec_weight,weighted_mean_predicted_probability,0.10138801972450243,0.10154254439573611,0.00015452467123368285,0.003595626386660974,0.09487839733195225,0.1086535495073175,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
temporal 2021-2023,elastic_net,model0_core,strict: any positive; otherwise all five components observed and negative,7723,982,combined_mec_weight,calibration_in_the_large,-0.04533324298051733,-0.046134961112321335,-0.0008017181318040051,0.03913895077192371,-0.12462973714233783,0.0274823556023223,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
temporal 2021-2023,elastic_net,model1_renal,strict: any positive; otherwise all five components observed and negative,7723,982,combined_mec_weight,survey_weighted_AUROC,0.8585490203761315,0.8577103498125971,-0.0008386705635343716,0.012015969344342866,0.8347643360530128,0.8798775339662073,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
temporal 2021-2023,elastic_net,model1_renal,strict: any positive; otherwise all five components observed and negative,7723,982,combined_mec_weight,survey_weighted_PR_AUC,0.4219334698662841,0.42225146687292564,0.00031799700664153496,0.019697219560057773,0.385128644847592,0.4600374104891776,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
temporal 2021-2023,elastic_net,model1_renal,strict: any positive; otherwise all five components observed and negative,7723,982,combined_mec_weight,weighted_Brier,0.06952600401146124,0.06966993666082674,0.0001439326493655052,0.003029094952394365,0.06417034870462367,0.07570924108478042,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
temporal 2021-2023,elastic_net,model1_renal,strict: any positive; otherwise all five components observed and negative,7723,982,combined_mec_weight,weighted_log_loss,0.2355107704597381,0.23605762586876894,0.0005468554090308497,0.008949565244240421,0.2194978209577157,0.25331793238140726,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
temporal 2021-2023,elastic_net,model1_renal,strict: any positive; otherwise all five components observed and negative,7723,982,combined_mec_weight,calibration_intercept,-0.04003780789947375,-0.04191101904998445,-0.0018732111505107008,0.10746662382785338,-0.2510700372006412,0.16220236531038312,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
temporal 2021-2023,elastic_net,model1_renal,strict: any positive; otherwise all five components observed and negative,7723,982,combined_mec_weight,calibration_slope,1.0046060669600279,1.0053298286635648,0.0007237617035369404,0.061327831752276664,0.8980167584621412,1.124275379412586,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
temporal 2021-2023,elastic_net,model1_renal,strict: any positive; otherwise all five components observed and negative,7723,982,combined_mec_weight,observed_expected_ratio,0.9673242607519644,0.9672006286148748,-0.0001236321370896576,0.03353629077351235,0.9013913331673304,1.0318301960343252,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
temporal 2021-2023,elastic_net,model1_renal,strict: any positive; otherwise all five components observed and negative,7723,982,combined_mec_weight,weighted_observed_prevalence,0.09733176905642593,0.09747475498093566,0.0001429859245097309,0.005105862310024138,0.08797531367299706,0.10788147453110053,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
temporal 2021-2023,elastic_net,model1_renal,strict: any positive; otherwise all five components observed and negative,7723,982,combined_mec_weight,weighted_mean_predicted_probability,0.10061958849327689,0.10077545465631406,0.0001558661630371716,0.0038193205658907624,0.09373487276359457,0.10826696495406961,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
temporal 2021-2023,elastic_net,model1_renal,strict: any positive; otherwise all five components observed and negative,7723,982,combined_mec_weight,calibration_in_the_large,-0.03687049693696265,-0.037608677803970675,-0.0007381808670080259,0.0384854086061167,-0.1150852383928814,0.03482522178803012,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
