target_population,comparison_sample,model,model_label,algorithm,cycle,n,events,weight_variable,classification_threshold,classification_threshold_type,survey_weighted_AUROC,survey_weighted_PR_AUC,unweighted_AUROC,unweighted_PR_AUC,weighted_Brier,weighted_log_loss,unweighted_Brier,unweighted_log_loss,calibration_intercept,calibration_slope,observed_expected_ratio,weighted_observed_prevalence,weighted_mean_predicted_probability,calibration_in_the_large,sensitivity,specificity,PPV,NPV,F1,imbalance_setting
MEC examination sample,renal comparison sample,model1_renal,Model 1 renal,elastic_net,2007-2008,5649,677,combined_mec_weight,0.5,fixed_0.50,0.8552307926018757,0.4059340655055275,0.8322701664030536,0.4132783226682524,0.0627113308031534,0.2180707114428954,0.0857601725514906,0.2845606001640588,0.0763921696115875,1.0265159442157998,1.0224617342438926,0.086286136260994,0.0843905775356985,0.0242856004902956,0.1683899556868537,0.9810941271118262,0.5480769230769231,0.8965263738283403,0.2576271186440678,main_observed_class_distribution
fasting subsample,metabolic comparison sample,model2_metabolic,Model 2 metabolic,elastic_net,2007-2008,2337,288,combined_fasting_weight,0.5,fixed_0.50,0.8554676702429903,0.3859634558729906,0.82301495309365,0.3830928018256542,0.0655070241213217,0.2247586383272234,0.0900942578009979,0.2967648050840384,0.0719632254390391,1.0299380556321265,1.015876515564359,0.0895634391907447,0.0881637067286556,0.0172880513138196,0.1388888888888889,0.9790141532454856,0.4819277108433735,0.8899733806566105,0.215633423180593,main_observed_class_distribution
MEC examination sample,inflammatory comparison sample,model3_inflammatory,Model 3 inflammatory,elastic_net,2007-2008,5649,677,combined_mec_weight,0.5,fixed_0.50,0.8523016964006225,0.3909560056132549,0.8281020687786613,0.3925149993258485,0.0634816999267941,0.2202997177817572,0.0869978448179708,0.287807129386261,0.0949097013268789,1.0341110403812857,1.0269397675080116,0.086286136260994,0.0840225872938754,0.0290575229347105,0.1403249630723781,0.9841110217216412,0.5459770114942529,0.8936986301369862,0.2232667450058754,main_observed_class_distribution
fasting subsample,combined comparison sample,model4_combined,Model 4 combined biomarkers,elastic_net,2007-2008,2337,288,combined_fasting_weight,0.5,fixed_0.50,0.8642817161431804,0.4096419818191604,0.833040168645952,0.4142936504373781,0.0644049298831458,0.2206142757945057,0.0878340518298711,0.290261554484826,0.0503961547853145,1.0221725867461977,1.009167852672941,0.0895634391907447,0.0887497941531944,0.0100193706005944,0.1979166666666666,0.9755978526110298,0.5327102803738317,0.8964125560538116,0.2886075949367088,main_observed_class_distribution
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,elastic_net,2009-2010,5990,646,combined_mec_weight,0.5,fixed_0.50,0.8452409522165378,0.3504824106346944,0.8387480070818115,0.3891991339382807,0.0623007376253395,0.2168392376360465,0.0789518763561067,0.2638979836885712,-0.1685420313155046,0.9537351286056378,0.9347370564011256,0.0810749535580189,0.0867355723225196,-0.0736691077439761,0.1656346749226006,0.9812874251497006,0.5169082125603864,0.906795780736642,0.2508792497069168,main_observed_class_distribution
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,elastic_net,2009-2010,2594,273,combined_fasting_weight,0.5,fixed_0.50,0.8388950285425559,0.3564907202123714,0.8395332945095979,0.399034408949386,0.062502542600401,0.2194161776973696,0.0765789713068165,0.2585322099943034,-0.1676307334190422,0.9693975315895428,0.9162007365482964,0.0815187617743325,0.0889747830605847,-0.0956706941416105,0.1831501831501831,0.984489444205084,0.5813953488372093,0.9110845295055822,0.2785515320334261,main_observed_class_distribution
fasting subsample,metabolic comparison sample,model0_paired_metabolic,Model 0 paired metabolic sample,elastic_net,2009-2010,2594,273,combined_fasting_weight,0.5,fixed_0.50,0.8388950285425559,0.3564907202123714,0.8395332945095979,0.399034408949386,0.062502542600401,0.2194161776973696,0.0765789713068165,0.2585322099943034,-0.1676307334190422,0.9693975315895428,0.9162007365482964,0.0815187617743325,0.0889747830605847,-0.0956706941416105,0.1831501831501831,0.984489444205084,0.5813953488372093,0.9110845295055822,0.2785515320334261,main_observed_class_distribution
MEC examination sample,renal comparison sample,model1_renal,Model 1 renal,elastic_net,2009-2010,5990,646,combined_mec_weight,0.5,fixed_0.50,0.8489547476461933,0.3518287682937038,0.8440573381101575,0.3970602161919735,0.0620188370193427,0.2154721480397461,0.0782782113862253,0.2614520624759567,-0.1760532850015128,0.938582136380677,0.949270694925787,0.0810749535580189,0.0854076229166194,-0.0567873613933582,0.1857585139318885,0.9782934131736528,0.5084745762711864,0.9085853319429962,0.2721088435374149,main_observed_class_distribution
fasting subsample,metabolic comparison sample,model2_metabolic,Model 2 metabolic,elastic_net,2009-2010,2594,273,combined_fasting_weight,0.5,fixed_0.50,0.840967731839454,0.3576649123618454,0.8413971494540214,0.4013898551918505,0.0622403745778614,0.2184137106748788,0.0762763065988571,0.2574864065806496,-0.1427029267267956,0.9787573198908772,0.922651058795174,0.0815187617743325,0.088352753727701,-0.0879725211277442,0.1684981684981685,0.984920292977165,0.5679012345679012,0.9096697174691604,0.2598870056497175,main_observed_class_distribution
MEC examination sample,inflammatory comparison sample,model3_inflammatory,Model 3 inflammatory,elastic_net,2009-2010,5990,646,combined_mec_weight,0.5,fixed_0.50,0.8453963796194611,0.3533731473939627,0.8389661273428375,0.3895922256967327,0.0621868487311408,0.216615021269987,0.0788816554729877,0.263714680851154,-0.1600087521752382,0.9538202882220408,0.9409161023025552,0.0810749535580189,0.0861659752231012,-0.0664568976944508,0.1780185758513932,0.9825973053892216,0.5528846153846154,0.9081632653061223,0.2693208430913348,main_observed_class_distribution
fasting subsample,combined comparison sample,model4_combined,Model 4 combined biomarkers,elastic_net,2009-2010,2594,273,combined_fasting_weight,0.5,fixed_0.50,0.8441243752992496,0.3599028239120698,0.8466083679353821,0.4044939224984253,0.0619411713842191,0.2171004513656641,0.0757485585127349,0.2550047952869043,-0.1610416261780582,0.9569613279676352,0.9369941689771438,0.0815187617743325,0.087000287166484,-0.0710641316849463,0.1868131868131868,0.980180956484274,0.5257731958762887,0.9110933119743692,0.2756756756756756,main_observed_class_distribution
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,elastic_net,2011-2012,5260,550,combined_mec_weight,0.5,fixed_0.50,0.839331193896127,0.3696651030488631,0.8302223508975103,0.3654333935485951,0.0653954196672101,0.2286227905357045,0.0786103693228771,0.2645395678386608,-0.0466318889965126,0.953910639003812,1.024878047759194,0.0872691883059831,0.0851508025728422,0.0268918700597939,0.14,0.9842887473460722,0.5099337748344371,0.907418281464083,0.2196861626248217,main_observed_class_distribution
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,elastic_net,2011-2012,2294,239,combined_fasting_weight,0.5,fixed_0.50,0.831473891793819,0.3765995251668688,0.8246322369157784,0.3536831650711171,0.0721383548295917,0.2494597239451877,0.0795379376358037,0.2679635086975975,-0.0436802548665809,0.9109750364633612,1.0839767260443762,0.0968836554313234,0.0893779848806063,0.0889129440686966,0.1673640167364016,0.9819951338199512,0.5194805194805194,0.9102390617952189,0.2531645569620253,main_observed_class_distribution
fasting subsample,metabolic comparison sample,model0_paired_metabolic,Model 0 paired metabolic sample,elastic_net,2011-2012,2294,239,combined_fasting_weight,0.5,fixed_0.50,0.831473891793819,0.3765995251668688,0.8246322369157784,0.3536831650711171,0.0721383548295917,0.2494597239451877,0.0795379376358037,0.2679635086975975,-0.0436802548665809,0.9109750364633612,1.0839767260443762,0.0968836554313234,0.0893779848806063,0.0889129440686966,0.1673640167364016,0.9819951338199512,0.5194805194805194,0.9102390617952189,0.2531645569620253,main_observed_class_distribution
MEC examination sample,renal comparison sample,model1_renal,Model 1 renal,elastic_net,2011-2012,5260,550,combined_mec_weight,0.5,fixed_0.50,0.8445006566855623,0.3948627721959286,0.8378455896545068,0.3876128566103479,0.0641596854924454,0.2250580197862236,0.0771967942097757,0.2601738963018014,-0.0267213358427715,0.9601564411194176,1.0315826285635143,0.0872691883059831,0.0845973806553005,0.0340171474116322,0.1909090909090909,0.981104033970276,0.5412371134020618,0.9121594946703514,0.282258064516129,main_observed_class_distribution
fasting subsample,metabolic comparison sample,model2_metabolic,Model 2 metabolic,elastic_net,2011-2012,2294,239,combined_fasting_weight,0.5,fixed_0.50,0.8332157007209402,0.3772009223481548,0.8247788331348177,0.3489373193252182,0.0720852421108797,0.2491764648871851,0.0796153226960973,0.2681731300043602,-0.0595765688356434,0.906439436424286,1.0764811332608784,0.0968836554313234,0.0900003283270216,0.0812903629942134,0.1715481171548117,0.9819951338199512,0.5256410256410257,0.9106498194945848,0.2586750788643533,main_observed_class_distribution
MEC examination sample,inflammatory comparison sample,model3_inflammatory,Model 3 inflammatory,elastic_net,2011-2012,5260,550,combined_mec_weight,0.5,fixed_0.50,0.8405220575411978,0.3732707843176389,0.8320995946728431,0.3696999938517651,0.0651290016122595,0.228034662679928,0.0781618690711316,0.2634618871838578,-0.0275412305174425,0.9576590654564444,1.0349525973718552,0.0872691883059831,0.0843219182478437,0.0375794920036662,0.1345454545454545,0.98619957537155,0.5323741007194245,0.9070494044132006,0.2148040638606676,main_observed_class_distribution
fasting subsample,combined comparison sample,model4_combined,Model 4 combined biomarkers,elastic_net,2011-2012,2294,239,combined_fasting_weight,0.5,fixed_0.50,0.8381289400294204,0.3986149779218837,0.8319376151645644,0.3672691631308331,0.0706372812732937,0.2453149985765783,0.0784369785842394,0.2648697827011466,-0.0200238946295157,0.9122004420246548,1.1004344252249756,0.0968836554313234,0.0880412800712921,0.1054483722894819,0.200836820083682,0.9751824817518248,0.4848484848484848,0.912984054669704,0.2840236686390532,main_observed_class_distribution
