comparison,algorithm,cycle,n,events,weight_variable,core_model,extended_model,metric,point_estimate,bootstrap_mean,bootstrap_bias,bootstrap_se,ci_lower,ci_upper,ci_level,ci_method,replicate_method,n_replicates_requested,n_replicates_valid,valid_replicate_fraction,design_df
renal,elastic_net,2007-2008,5649,677,combined_mec_weight,model0_core,model1_renal,absolute_intercept_deviation_change,-0.006938547030576753,0.006447881121894236,0.01338642815247099,0.02644748349034347,-0.04751455037628051,0.05929736621647973,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,16
renal,elastic_net,2007-2008,5649,677,combined_mec_weight,model0_core,model1_renal,absolute_slope_deviation_change,-0.0015892313472214425,0.0011822535207265722,0.002771484867948015,0.01583032205131581,-0.036376161394050074,0.02681537724602814,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,16
renal,elastic_net,2009-2010,5990,646,combined_mec_weight,model0_core,model1_renal,delta_AUROC,0.003713795429655553,0.003566494336908341,-0.0001473010927472121,0.0019623836344267636,-0.00018718101017409976,0.0074205778218489685,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,16
renal,elastic_net,2009-2010,5990,646,combined_mec_weight,model0_core,model1_renal,delta_PR_AUC,0.0013463576590095894,0.0013868886011335257,4.053094212393637e-05,0.006549643783898735,-0.01030100717550239,0.014328901000632811,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,16
renal,elastic_net,2009-2010,5990,646,combined_mec_weight,model0_core,model1_renal,delta_Brier_improvement,0.00028190060599685846,0.00027285044092001897,-9.05016507683949e-06,0.00028699530198958656,-0.00029345059377220887,0.0008074501832471612,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,16
renal,elastic_net,2009-2010,5990,646,combined_mec_weight,model0_core,model1_renal,delta_log_loss_improvement,0.0013670895963003027,0.0013443941877974478,-2.26954085028549e-05,0.0007691759186092958,-0.00010728934711591295,0.0028118446332852202,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,16
renal,elastic_net,2009-2010,5990,646,combined_mec_weight,model0_core,model1_renal,core_calibration_intercept,-0.16854203131550619,-0.17046183458599848,-0.001919803270492293,0.06887752394956911,-0.3094943713985606,-0.04621642547003296,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,16
renal,elastic_net,2009-2010,5990,646,combined_mec_weight,model0_core,model1_renal,extended_calibration_intercept,-0.17605328500151168,-0.178452707254566,-0.002399422253054312,0.07089192771402436,-0.32343943846231366,-0.05142507251471454,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,16
renal,elastic_net,2009-2010,5990,646,combined_mec_weight,model0_core,model1_renal,core_calibration_slope,0.9537351286056366,0.9535750402716421,-0.0001600883339945014,0.022158869247436288,0.9114812373940467,0.9945771731788536,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,16
renal,elastic_net,2009-2010,5990,646,combined_mec_weight,model0_core,model1_renal,extended_calibration_slope,0.9385821363806764,0.9382430269708945,-0.0003391094097819902,0.02082648438609046,0.8991487294136193,0.9784353700132454,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,16
renal,elastic_net,2009-2010,5990,646,combined_mec_weight,model0_core,model1_renal,absolute_intercept_deviation_change,-0.007511253686005498,-0.007964897031957211,-0.00045364334595171356,0.013523285359761454,-0.0328909674965789,0.018745703300675015,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,16
