Period,Strict n (events),Delta AUROC (95% CI),Delta PR-AUC (95% CI),Brier improvement (95% CI),Log-loss improvement (95% CI)
development 2005-2018 out-of-cycle,37308 (4222),0.00459 (0.00303 to 0.00620),0.01646 (0.01036 to 0.02282),0.00091 (0.00062 to 0.00122),0.00278 (0.00190 to 0.00371)
temporal 2021-2023,7723 (982),0.00385 (-0.00020 to 0.00760),0.02177 (0.00940 to 0.03192),0.00098 (0.00028 to 0.00168),0.00281 (0.00055 to 0.00509)
