model,term,source_predictor,coefficient,coefficient_scale,odds_ratio_per_model_unit
model1_renal,smoking_Never,smoking,-0.4460012198003932,one-hot indicator versus omitted reference category,0.6401829911657065
model1_renal,diabetes_0.0,diabetes,-0.8751620270398145,one-hot indicator versus omitted reference category,0.41679448223104293
model1_renal,diabetes_1.0,diabetes,-0.2972215966298865,one-hot indicator versus omitted reference category,0.7428793745552084
model2_metabolic,intercept,intercept,-1.3032538605332804,model log-odds intercept after preprocessing,0.2716464537549997
model2_metabolic,age,age,1.3149526399310598,one training-sample standard deviation after median imputation,3.7245745849649676
model2_metabolic,bmi,bmi,0.01357647491035732,one training-sample standard deviation after median imputation,1.013669053736121
model2_metabolic,mean_sbp,mean_sbp,0.0004944900169492877,one training-sample standard deviation after median imputation,1.0004946122972924
model2_metabolic,total_cholesterol,total_cholesterol,-0.40049861090981603,one training-sample standard deviation after median imputation,0.6699859004588553
model2_metabolic,hdl_cholesterol,hdl_cholesterol,-0.036772805460865185,one training-sample standard deviation after median imputation,0.9638951021775912
model2_metabolic,tyg_wc,tyg_wc,0.24281861290195825,one training-sample standard deviation after median imputation,1.274837364095353
model2_metabolic,sex_Female,sex,-0.7089562778294524,one-hot indicator versus omitted reference category,0.4921576052908365
model2_metabolic,sex_Male,sex,-0.5939753376724736,one-hot indicator versus omitted reference category,0.5521280209011095
model2_metabolic,race_ethnicity_Mexican American,race_ethnicity,-0.5532677364079023,one-hot indicator versus omitted reference category,0.5750675674912809
model2_metabolic,race_ethnicity_Non-Hispanic Asian,race_ethnicity,-0.6621192638262603,one-hot indicator versus omitted reference category,0.5157571499972897
model2_metabolic,race_ethnicity_Non-Hispanic Black,race_ethnicity,0.020581183701498494,one-hot indicator versus omitted reference category,1.0207944367502064
model2_metabolic,race_ethnicity_Non-Hispanic White,race_ethnicity,-0.1515091187396895,one-hot indicator versus omitted reference category,0.8594100455007048
model2_metabolic,race_ethnicity_Other Hispanic,race_ethnicity,-0.23714503696279662,one-hot indicator versus omitted reference category,0.7888768634156216
model2_metabolic,race_ethnicity_Other/Multi,race_ethnicity,0.28052835673322307,one-hot indicator versus omitted reference category,1.3238290815982574
model2_metabolic,education_9-11th grade,education,0.26758178135661215,one-hot indicator versus omitted reference category,1.3068004973836396
model2_metabolic,education_<9th grade,education,0.1406243156021106,one-hot indicator versus omitted reference category,1.150992156954304
model2_metabolic,education_College graduate+,education,-0.32931673772584336,one-hot indicator versus omitted reference category,0.7194151147490174
model2_metabolic,education_High school/GED,education,-0.02320488184448801,one-hot indicator versus omitted reference category,0.9770622809427156
model2_metabolic,education_Missing,education,-1.3141714097368182,one-hot indicator versus omitted reference category,0.26869687063695763
model2_metabolic,education_Some college/AA,education,-0.04444468315347342,one-hot indicator versus omitted reference category,0.95652851077101
model2_metabolic,smoking_Current,smoking,0.7834660850796338,one-hot indicator versus omitted reference category,2.189046552948678
model2_metabolic,smoking_Former,smoking,0.16265876712323699,one-hot indicator versus omitted reference category,1.1766351145919984
model2_metabolic,smoking_Missing,smoking,-2.1306647630068154,one-hot indicator versus omitted reference category,0.11875832146749475
model2_metabolic,smoking_Never,smoking,-0.11839170469794284,one-hot indicator versus omitted reference category,0.8883480143643239
model2_metabolic,diabetes_0.0,diabetes,-0.9159786047316858,one-hot indicator versus omitted reference category,0.4001248703436857
model2_metabolic,diabetes_1.0,diabetes,-0.38695301077022237,one-hot indicator versus omitted reference category,0.6791230056438604
model3_inflammatory,intercept,intercept,-1.2369483026720103,model log-odds intercept after preprocessing,0.29026867985232085
model3_inflammatory,age,age,1.3764156727314194,one training-sample standard deviation after median imputation,3.960679782301305
model3_inflammatory,bmi,bmi,0.18867177016109501,one training-sample standard deviation after median imputation,1.2076445024626001
model3_inflammatory,mean_sbp,mean_sbp,-0.05667045295477943,one training-sample standard deviation after median imputation,0.9449054088487016
model3_inflammatory,total_cholesterol,total_cholesterol,-0.31525291422280355,one training-sample standard deviation after median imputation,0.7296043236218358
model3_inflammatory,hdl_cholesterol,hdl_cholesterol,-0.12108137627843096,one training-sample standard deviation after median imputation,0.8859618603803031
