comparison,algorithm,n,events,weight_variable,core_model,extended_model,delta_AUROC,delta_PR_AUC,delta_Brier_improvement,delta_log_loss_improvement,core_AUROC,extended_AUROC,core_Brier,extended_Brier,core_calibration_slope,extended_calibration_slope
renal,elastic_net,37482,4222,combined_mec_weight,model0_core,model1_renal,0.004612099263783032,0.016092199963616827,0.0008860811119814488,0.002724798448185739,0.8490098924252527,0.8536219916890357,0.06588712131618639,0.06500104020420494,0.9935460083829364,0.9936395025981501
renal,xgboost,37482,4222,combined_mec_weight,model0_core,model1_renal,0.002912927189123171,0.010270568696291227,0.0006313757864461339,0.0018003364248972697,0.8523845975664321,0.8552975247555553,0.06532601835854063,0.0646946425720945,1.016022249103377,1.0046939203699359
metabolic,elastic_net,15956,1813,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,0.0011367131150548104,0.0001690006572883651,0.00010816963660194301,0.0004852464245231891,0.8442191603612648,0.8453558734763196,0.06871065614098214,0.0686024865043802,0.982320289454998,0.9824323570411836
metabolic,xgboost,15956,1813,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,0.0005393378814698702,-0.006748072252165616,-0.00033222793570102105,-0.00041318854610172817,0.8442647703658958,0.8448041082473656,0.06825556183037383,0.06858778976607485,1.0002524462908908,0.9757920421194171
inflammatory,elastic_net,37482,4222,combined_mec_weight,model0_core,model3_inflammatory,0.0010563996197381353,0.0024373204680349647,0.0001449454331341471,0.0005081749701036087,0.8490098924252527,0.8500662920449908,0.06588712131618639,0.06574217588305224,0.9935460083829364,0.9932332362706653
inflammatory,xgboost,37482,4222,combined_mec_weight,model0_core,model3_inflammatory,0.0007864974984237438,-0.00042824522213791294,4.233111413826096e-05,0.00020965112080412185,0.8523845975664321,0.8531710950648559,0.06532601835854063,0.06528368724440237,1.016022249103377,1.0082370587535365
combined,elastic_net,15956,1813,combined_fasting_weight,model0_paired_combined,model4_combined,0.0071829789592413595,0.024061580693437057,0.0013818606356228724,0.004279748289581858,0.8442191603612648,0.8514021393205061,0.06871065614098214,0.06732879550535927,0.982320289454998,0.9814214173394633
combined,xgboost,15956,1813,combined_fasting_weight,model0_paired_combined,model4_combined,0.00377437379934753,0.017861648631603666,0.0008843987597454278,0.0025736545005516642,0.8442647703658958,0.8480391441652433,0.06825556183037383,0.0673711630706284,1.0002524462908908,0.984462923203745
