comparison,algorithm,cycle,n,events,weight_variable,core_model,extended_model,metric,point_estimate,bootstrap_mean,bootstrap_bias,bootstrap_se,ci_lower,ci_upper,ci_level,ci_method,replicate_method,n_replicates_requested,n_replicates_valid,valid_replicate_fraction,design_df
metabolic,elastic_net,pooled_2005_2018,15956,1813,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,delta_AUROC,0.0011367131150543663,0.0011353502171032627,-1.362897951103642e-06,0.000642506391935109,-0.00015536468431296056,0.0023953184444903434,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
metabolic,elastic_net,pooled_2005_2018,15956,1813,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,delta_PR_AUC,0.00016900065728842062,0.0002594912040572577,9.049054676883706e-05,0.0020217749663349167,-0.0037926777579433114,0.00411473375188175,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
metabolic,elastic_net,pooled_2005_2018,15956,1813,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,delta_Brier_improvement,0.00010816963660192913,0.00010760169460014712,-5.679420017820082e-07,0.00010927367198936755,-0.00011518507352005178,0.00031083197664736933,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
metabolic,elastic_net,pooled_2005_2018,15956,1813,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,delta_log_loss_improvement,0.0004852464245233834,0.0004854844522401256,2.3802771674221119e-07,0.0003386602202040166,-0.00019884584036229563,0.001112653421413625,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
metabolic,elastic_net,pooled_2005_2018,15956,1813,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,core_calibration_intercept,-0.03129755442804868,-0.03132191283253121,-2.4358404482532903e-05,0.05558300663708222,-0.14384241500842662,0.0747763314164745,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
metabolic,elastic_net,pooled_2005_2018,15956,1813,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,extended_calibration_intercept,-0.03144317604279809,-0.03152550059812216,-8.232455532407312e-05,0.05567446195659875,-0.14443940980960476,0.07483996750282634,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
metabolic,elastic_net,pooled_2005_2018,15956,1813,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,core_calibration_slope,0.9823202894549972,0.9828341728179253,0.0005138833629281248,0.02642323404418324,0.9318967185232366,1.03865069555945,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
metabolic,elastic_net,pooled_2005_2018,15956,1813,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,extended_calibration_slope,0.982432357041183,0.9829228883049352,0.000490531263752203,0.026494147957325406,0.9305028892494253,1.0381394058124849,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
metabolic,elastic_net,pooled_2005_2018,15956,1813,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,absolute_intercept_deviation_change,-0.00014562161474940966,-0.0001446855539432674,9.360608061422589e-07,0.005610934013194951,-0.011068518039350555,0.011083388701639607,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
metabolic,elastic_net,pooled_2005_2018,15956,1813,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,absolute_slope_deviation_change,0.00011206758618587109,8.532444171393894e-05,-2.674314447193215e-05,0.0031528573581837533,-0.006211549785391507,0.006245793935266431,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
metabolic,xgboost,pooled_2005_2018,15956,1813,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,delta_AUROC,0.0005393378814703143,0.0005347562867462547,-4.5815947240595255e-06,0.0009546921899978839,-0.0013387439163668104,0.0023776784899628587,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
metabolic,xgboost,pooled_2005_2018,15956,1813,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,delta_PR_AUC,-0.006748072252165449,-0.006607348237510132,0.00014072401465531695,0.003200100435098246,-0.012988579801611317,-0.0002961041779026086,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
