comparison,algorithm,scope,n,events,core_model,extended_model,weight_variable,strategy,threshold_probability,net_benefit,bootstrap_se,ci_lower,ci_upper,valid_replicates,ci_level,ci_method
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,treat_none,0.05,0.0,0.0,0.0,0.0,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,core_model,0.06,0.060469586530207675,0.009485377856353663,0.04108882750932155,0.07796505193043007,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,extended_minus_core,0.06,0.00273456958869249,0.0017121563916087693,-1.189620630722726e-06,0.005674377676117286,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,extended_model,0.06,0.06320415611890016,0.009339254617893339,0.04492282015128354,0.08010520179983363,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,treat_all,0.06,0.03734300908086122,0.012675107997031554,0.012651711843895143,0.06027070940368371,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,treat_none,0.06,0.0,0.0,0.0,0.0,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,core_model,0.07,0.05787501512200008,0.009107477442466533,0.039665296271429236,0.07445737055562002,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,extended_minus_core,0.07,-6.536374591407934e-06,0.0017662711732427988,-0.0033398720899797912,0.003336348828901573,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,extended_model,0.07,0.05786847874740867,0.009619293977681924,0.038211976389719605,0.07544572452126498,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,treat_all,0.07,0.02699185864087046,0.012811399480870603,0.0020350635841520645,0.05016609337576631,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,treat_none,0.07,0.0,0.0,0.0,0.0,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,core_model,0.08,0.05551544095055699,0.009387527606142579,0.03624368779084397,0.0725642257324002,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,extended_minus_core,0.08,-0.00024762812800266376,0.0016245146055037228,-0.0026373185686665085,0.00243270099985269,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,extended_model,0.08,0.05526781282255433,0.008942962185281449,0.03707253860146124,0.07185445797847942,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,treat_all,0.08,0.01641568319131473,0.012950653823053979,-0.008812381376889744,0.03984181178202466,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,treat_none,0.08,0.0,0.0,0.0,0.0,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,core_model,0.09,0.053731648442617345,0.008891675184774083,0.035040571468882925,0.07012563003093493,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,extended_minus_core,0.09,-0.0006322364393150925,0.0013362201130608742,-0.0030601166010468315,0.0016678166741929466,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,extended_model,0.09,0.05309941200330225,0.008848419564166293,0.034701367786223514,0.06921190809778732,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,treat_all,0.09,0.005607064325285224,0.013092968700230396,-0.01989823172169073,0.029290622900508444,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,treat_none,0.09,0.0,0.0,0.0,0.0,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,core_model,0.1,0.05124617586905722,0.008271418352180785,0.033802671401985125,0.06619509445764221,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,extended_minus_core,0.1,-0.0004313984462773618,0.0011322621154164828,-0.0026278199124162523,0.0017086349088727391,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,extended_model,0.1,0.05081477742277986,0.008389705676252827,0.03330385275192941,0.06561967532601215,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,treat_all,0.1,-0.005441746071100512,0.013238446130232957,-0.031230434296376185,0.018504963154958524,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,treat_none,0.1,0.0,0.0,0.0,0.0,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,core_model,0.11,0.048764530106665226,0.007999889622341983,0.03221118043058664,0.06323257970413788,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,extended_minus_core,0.11,0.00048324317264231836,0.001375572941354996,-0.0022681815184327028,0.002992018590640936,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,extended_model,0.11,0.049247773279307544,0.008322855251638327,0.0322710107294771,0.06443740986913037,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,treat_all,0.11,-0.016738844341562295,0.013387192715965912,-0.04281729310869501,0.007476929033104143,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,treat_none,0.11,0.0,0.0,0.0,0.0,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,core_model,0.12,0.0451658547750482,0.007406375009305549,0.029736094863397997,0.058229799008884434,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,extended_minus_core,0.12,0.0018320259236828812,0.002134124846914609,-0.002219748041746402,0.005970256317822799,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,extended_model,0.12,0.04699788069873108,0.008016580324875178,0.030914271710504027,0.061848221896156394,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,treat_all,0.12,-0.02829269484544368,0.013539319905920067,-0.05466748962129382,-0.0038017422278833124,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,treat_none,0.12,0.0,0.0,0.0,0.0,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,core_model,0.13,0.041876890235242145,0.007214592245494052,0.026984982833033515,0.05463161686974921,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,extended_minus_core,0.13,0.0008930977502459858,0.002502374414676637,-0.004316043809982264,0.005613902292617908,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,extended_model,0.13,0.04276998798548813,0.008119206692659357,0.026421781402322517,0.05731428677479777,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,treat_all,0.13,-0.04011215110803501,0.013694944272654781,-0.06679010444452708,-0.01533969328797395,2000,0.95,survey_Rao_Wu_percentile
